"","logFC","logCPM","LR","PValue"
"Prpf8",-0.0691842618504888,7.63975966073738,0.317884538651377,0.572881741771326
"Slc44a2",-0.0468910413237877,7.39726177371021,0.209616351252674,0.647068270227431
"Zfp36l1",-0.330540914502497,7.54063343679498,4.62893056945859,0.0314371530820456
"Arhgef2",-0.172549896405676,7.28220759270824,2.73231124455444,0.098336881643347
"Dnajc3",0.00300699018921142,7.82785430462083,0.000794717696301461,0.977510024474685
"Svil",0.232540866008347,7.10916790292286,2.85278303492252,0.0912159107293045
"Cep170",0.0698952718235696,7.41517948612753,0.392469020360956,0.531004426774803
"Srpr",-0.0358407639788021,7.86402235388312,0.125353764163556,0.723298912896499
"Tcf12",0.0223993608484601,7.43730403716031,0.0459041828549385,0.830350068051913
"Tpp1",-0.0237208158373317,7.52936463983946,0.0381773735776054,0.845087401247637
"Ptbp3",-0.0332617616898633,7.67441951602282,0.0887773454683529,0.765737299951159
"Lamb2",-0.21102598300315,7.45999891329207,2.63995671174962,0.104206383246226
"Shisa5",-0.0214175238278376,7.48696767044908,0.0402665629114907,0.840960293807027
"Ppp1ca",-0.111311994479191,7.71917611563777,1.13489917436163,0.286732743558473
"Rpl27",-0.0927002912964466,7.72448693442689,0.694485196569525,0.404642976060375
"Abl1",-0.163826618730945,7.52959394502831,1.96823938842493,0.160634865015374
"Acly",-0.22150268470455,7.7853348614788,3.28846673458232,0.0697681448755022
"Ubap2l",-0.0557890462433642,7.3924841318783,0.310820464128444,0.577177151686455
"H1f0",0.275715973169134,7.3190262343517,3.96791209298654,0.0463752416279335
"Olfml3",0.0150205035475418,7.27773553756819,0.0126925398335942,0.910299184905292
"Osmr",-0.187654558127684,7.65912800783732,1.56486371452101,0.210954497535321
"Ttc3",0.0558374827576604,7.43544987822163,0.297794659635619,0.585268285532173
"2610507B11Rik",-0.031525048963739,7.57430427574906,0.0943890768423223,0.758669793836982
"Sdf4",0.00430415262255447,7.63758576422393,0.00164235686752079,0.967673777177997
"Luzp1",0.00936274671397759,7.63677872607078,0.00789430181911754,0.92920121302742
"Tmem43",-0.0548711820639107,7.59524790539662,0.27768084356391,0.598225318452951
"Rdx",0.0214496615870163,7.62541223722831,0.037991411012797,0.845460387212011
"Sdc2",-0.146999205931834,7.83954615191838,1.4901475357146,0.22219357025811
"Rtn3",0.00982237820004269,7.64532082982506,0.00847984819718306,0.926629639089717
"Rhoc",-0.270190831528821,7.96635863202938,6.0051000949932,0.0142645847712683
"Fabp5",-0.26959177142344,7.8742292185462,3.83185158211404,0.0502873517755272
"Kctd10",-0.291127830720721,7.98306528842376,4.70857830052648,0.0300124618347882
"Il1r1",-0.320163240044525,7.98264270385905,4.09788664379574,0.0429368515319656
"Csgalnact1",-0.0447003795541196,7.11562276061428,0.0668970231012711,0.7959094769581
"Rai14",-0.0948150183606366,7.83797324164964,0.712358638666925,0.398661911309544
"Pofut2",-0.0520844748528539,7.89966524238219,0.238204839700114,0.625505691076753
"Vegfa",0.0473161798591872,8.56381026225114,0.132591486074574,0.715760085415866
"Atp11a",-0.194274069416069,7.64364924629739,2.0249338820485,0.154735657972124
"Polr2m",-0.0105081918792979,7.56840941584176,0.0107897047760401,0.917269734303344
"Brd2",-0.122214203504902,8.09178175586877,1.32138253628955,0.250344079325703
"Ube2i",-0.0798653792146015,7.67311770532281,0.615646455861844,0.432669706103067
"Fzd1",0.000210978405219679,7.66065603058374,7.83913037594175e-07,0.999293562168946
"Lman2",-0.0725270989580667,7.62606763007668,0.426739109219766,0.513593370996627
"Pcbp1",-0.159429495741726,7.56403562908088,2.20062926347905,0.137954411692948
"Rpl9",-0.116130712088778,7.73539128611122,1.11818602015219,0.290309386238326
"Eid1",0.137086548367711,7.52434696294776,0.850857679038084,0.356309817733032
"Rab2a",-0.00389438252032274,7.77960253195172,0.00130245689290831,0.97121094072257
"Slc7a5",-0.328094394996495,8.02486108592729,4.89718673947259,0.0269004848418765
"Cct5",-0.0736675689828353,7.82192027788778,0.438033686662248,0.508073041051011
"Cct2",-0.0616574838969984,7.96027002526144,0.306014457089134,0.580136234141354
"B230219D22Rik",-0.0795336021332827,7.59760553809985,0.520010600842227,0.470837160008569
"Myl12b",-0.138987342344034,7.82483159449052,1.56412279595109,0.211062583253573
"Tm9sf2",0.0940001530607115,7.77961714804367,0.78626046903703,0.375233278174043
"Rhob",-0.148240690467809,7.55881798968489,1.50221857299691,0.220330313552883
"Vdac1",-0.037189884942883,7.63181620790134,0.127440658467895,0.721100551956787
"Sash1",-0.086841191143885,8.11109900472765,0.435386952284684,0.509357422225254
"Tbc1d2b",-0.0110755966932943,7.06501835950626,0.0068376404421393,0.93409801560734
"Prelid1",-0.2027067787701,7.73109649347447,3.67364793559709,0.0552790714035391
"Zfr",0.094906277329218,7.61136327385533,0.867074576761926,0.351766464564243
"Igf1r",-0.346346980528852,8.00334313464249,7.83800546544765,0.00511590227566143
"Gosr2",0.0526876365764488,7.6750246450581,0.280495816012333,0.596376425408193
"Pgrmc1",-0.00774097117044283,7.7838860795613,0.00549663536279077,0.940899546784427
"Sfr1",-0.00637301970912548,7.74926069372496,0.00326732402636942,0.954417334299243
"Col8a2",0.14817577089318,7.22522301240399,0.489788070153253,0.484021856720462
"Ranbp2",-0.0447220201983212,7.86086269430463,0.144469053744135,0.703877978153555
"Ubr5",-0.12243815914807,7.66585992589703,1.40046994275006,0.23664490276576
"Rps25",-0.0295265566699509,7.82738498394523,0.0814423734848366,0.775352184099042
"Extl3",-0.150076157030488,7.67736662063873,1.74453303397654,0.18656548485727
"Tnks2",0.00488429887475062,7.65757074313207,0.00226390963544887,0.962050525808319
"Arhgap31",0.0451025913724473,8.20369912238999,0.15414929649896,0.694601264225122
"Syncrip",-0.0687363193043035,7.7682072746146,0.392381435279675,0.531050267099906
"Lrp6",-0.0628278874022203,8.10025563594853,0.245146503849519,0.620513499870532
"Igf1",0.255967801806051,6.93606317142478,0.563024436409769,0.453044211496061
"Dnaja1",-0.0718028771836055,7.74307982077774,0.413415891387537,0.520240805905634
"Lpl",0.296405371421777,6.90854512654239,1.03610760673641,0.308728470720687
"Rab10",0.0554108157848429,7.82114369609413,0.256677679509359,0.612411876370911
"Larp1",-0.235712639328801,7.85458628166109,4.60860295642299,0.0318119395631213
"Cyb5b",-0.0929690682094616,7.70705941626639,0.71154454775354,0.398931535866842
"Hnrnpc",0.0383801304114708,7.75399528915439,0.131577166764172,0.716802350633863
"Eln",-0.386895520615695,7.5950233844053,1.99262230598171,0.15806696409129
"Kif26b",-0.439505500303545,7.38106372554502,6.61429402997896,0.0101163434252516
"Ppp2ca",0.0884611446025974,7.75180976113221,0.699346319963217,0.403003427407608
"Csnk1d",-0.219627637069753,7.9647487756434,4.49671827332968,0.0339599682498714
"Atxn7l3b",0.0794301973711823,7.50690079816731,0.65743182875625,0.417468071033458
"Rnf150",0.0623919594342598,7.40662679951127,0.281678553064999,0.595603138369873
"Macf1",-0.307475207460313,8.10008423246576,3.37376851421096,0.0662420681872293
"Plod3",-0.0992109916977376,7.90961075589176,0.798913737580762,0.371418342681535
"Cct8",-0.0939394897452773,7.98265736259372,0.730424952066549,0.392745479667136
"Kidins220",-0.0470817321968718,7.47219441129823,0.19760979360195,0.656657108563489
