"","fdr.high_dups_cor","fdr.high_dups_cor.1","fdr.high_dups_cor.2","fdr.high_dups_cor.3","logCPM.high_dups_cor","logCPM.high_dups_cor.1","logCPM.high_dups_cor.2","logCPM.high_dups_cor.3","logFC.high_dups_cor","logFC.high_dups_cor.1","logFC.high_dups_cor.2","logFC.high_dups_cor.3","LR.high_dups_cor","LR.high_dups_cor.1","LR.high_dups_cor.2","LR.high_dups_cor.3","PValue.high_dups_cor","PValue.high_dups_cor.1","PValue.high_dups_cor.2","PValue.high_dups_cor.3"
"Zfp703",0.878302765321405,0.00437520712291346,0.111710968811584,0.00327821872281953,6.86973981750788,6.4413252435591,6.49170465496669,6.04518370216507,-0.518758773775706,-0.622397607276913,-0.630946218794141,-0.556436951069557,3.21684024736145,19.7886927198301,11.7069685934242,20.0031755445037,0.0728841929454207,8.64928415417807e-06,0.000622664732649828,7.73136633172639e-06
"Ptgs2",0.556740081949818,0.000881864159420294,0.875114938295213,0.000499608075817117,8.35283352730164,8.13497397496971,8.26161715553609,8.12218925060794,-0.921576633221372,-1.03526281411173,-0.477575462918023,-1.00265462614513,7.16230305637224,26.4660775239768,3.08963246871214,25.400528082243,0.0074451543689765,2.68206861137559e-07,0.0787926029369252,4.65790592671317e-07
"Stk40",0.966249818336909,0.00633274272664869,0.322204172628371,0.0240548135206207,6.55569793913113,6.11321430708537,6.72788228474263,6.17792822715463,-0.354001240353914,-0.560052327866712,-0.557221324719313,-0.482150784499315,1.84952944709273,18.7740912723261,7.96161676091697,14.7448262716829,0.173838132366467,1.4715264911187e-05,0.00477797159186259,0.000123084810285748
"Arl4c",0.810267970065096,0.00201051180469458,0.519724051433865,0.000319372310463061,8.16497360739826,7.95140872259247,8.18325049193376,7.7652229383485,-0.671859479467102,-0.630077793533856,-0.612801033012432,-0.652678565681124,4.13913605131971,22.4100874708939,5.92119897417245,26.6495517487382,0.0419025502372478,2.20214363366948e-06,0.0149597751003869,2.43907370141333e-07
"Snx33",0.470946245664492,0.00633274272664869,0.413331323113567,0.024935993646364,5.5620577285869,5.04725325258834,5.65645085318616,5.0558462323372,0.684324233704685,0.61611971513545,0.458229483594486,0.501684149829535,8.43583445908014,18.6986322096079,7.15018807761359,14.6215623669847,0.00367898018625631,1.53092264343659e-05,0.00749561259912845,0.000131402440934712
"Stat2",0.101750158979784,0.00106037287116782,0.12415943054527,0.00992802889913353,5.72785447113064,5.18217624057543,5.83008309845121,5.26448536549547,0.935866268434973,0.887375095573827,0.717474427128698,0.708737539517151,13.9292819294214,24.5458617395961,11.3920754426887,17.259686233766,0.000189818220617462,7.25620121693308e-07,0.000737580775516457,3.26031191891509e-05
"Btbd3",0.712904394751234,0.00106037287116782,0.376131784605182,0.00369906016478819,6.75496171644352,6.25560507675235,6.78218465012971,6.23687020001836,0.557038963912263,0.611506508678197,0.492242895748889,0.530603006219551,5.1982925185057,25.2935876599727,7.5461943478397,19.7042493292476,0.0226090864688661,4.92342795578044e-07,0.00601369483270478,9.0400126220576e-06
"Dpy19l1",0.973083086464362,0.00257048109701982,0.39221089753695,0.00419999137567012,7.2260960333732,6.89051540625125,7.23939511435297,6.82326096372369,0.393606892643099,0.576860085223226,0.551465951945762,0.536976528861494,1.68399021422582,21.4162506482718,7.38791720673118,19.345826137969,0.19439508955172,3.69625051883697e-06,0.00656634815028323,1.09057359685951e-05
"Cyth3",0.732160817258763,0.00187268437805173,0.13086842609264,0.00286443604647184,7.77082408772602,7.5341906238043,7.86805997919602,7.61286852475582,-0.73600440153701,-0.564981737377396,-0.888679490447185,-0.517068313480783,5.08635683129838,22.74376082993,11.1627355018058,20.6073188436773,0.0241148002693838,1.85104143207668e-06,0.000834567747597583,5.63801644656225e-06
"Zbp1",0.51004142285414,0.309787791594537,0.00745189795302258,0.00327821872281953,0.369749257531129,-0.01596468428565,0.826310698584385,0.13992017974667,1.99314570620808,1.79777371869427,2.38842063143212,2.46637882089462,7.68592575572521,6.94895467168904,19.6247407919678,20.2172183943803,0.00556531240795849,0.00838682253688752,9.42409405326717e-06,6.91279180168135e-06
"Rasl11a",0.92176864580654,0.632333589314073,0.00223909743246743,0.0384433815833044,3.41187690561914,2.96061021626489,3.54379110727161,3.04986690752005,-0.597558904080101,-0.58213644315827,-1.04932683749087,-0.827692604982761,2.45178575838196,3.90397799532952,22.9738873654918,13.5032742805356,0.117391249777285,0.0481719184079377,1.64216900070952e-06,0.000238147553435957
"Sp100",0.925120132798065,0.360863450022619,0.00647496012133714,0.0011268603071508,1.06632425068778,0.720771887707297,1.45682024539091,0.792360372614083,0.905315034658444,1.16076276759356,1.61141294300691,1.74981154074474,2.41399725121869,6.37845999584859,20.0364380839008,22.9821494321565,0.120254951609482,0.0115513619570805,7.59804634700361e-06,1.63512645760388e-06
"Gbp3",0.556740081949818,0.0386774470260653,0.00876856169478848,0.00830221261461657,2.76238161260006,2.4173862491254,2.8501920637848,2.25242690020653,1.55354567953557,1.69842278340037,1.61572835632704,1.7005973164788,7.28513259933633,13.7502138709524,19.030904013275,17.7371951327511,0.00695275987294298,0.000208797045228911,1.28618433366901e-05,2.53618836554653e-05
"Pqlc1",0.914369040104668,0.0112886591079979,6.73609583443882e-06,0.00327821872281953,6.03967492012022,5.68830937159808,6.20351356997383,5.84383374437161,-0.39753388273432,-0.612304267497971,-1.08041410780626,-0.659588037967762,2.83802517017274,17.4152068374613,38.700708245456,20.0688404248536,0.092057290386898,3.00412917259676e-05,4.94029764168597e-10,7.47039345630222e-06
"Bok",0.999935776118052,0.627473464905719,0.00939848144178163,0.00548122301482546,4.9798056654925,4.51830456829662,5.16719202129966,4.63581727169165,-0.206131728879488,-0.384562947270228,-0.679447568882264,-0.571586604583985,0.580214217729317,3.93306022232387,18.7586695919791,18.6764445695308,0.446228366673827,0.047345713720138,1.48347420932743e-05,1.54884108407318e-05
"Eif3f",0.999935776118052,0.993202635400009,0.00876856169478848,0.998854154412216,7.1264412702657,7.12800259096371,6.87527571825638,7.03585932742322,-0.132622611546345,0.0535510452864191,1.07633831993754,0.00853203494138439,0.178577440510452,0.239957297121283,19.032056024044,0.00650075331694566,0.672598626596703,0.624236958732444,1.28540809199947e-05,0.935738395004248
"Rpl23a",0.753352866507917,0.999843556673348,0.000198280277177328,0.998854154412216,7.392267848025,8.77880908291011,7.16724759637418,8.45772748375096,-1.41224499252912,0.000897974612152298,2.2587362688214,0.00388179771533924,4.61683764711995,6.52258420075214e-05,29.4234989502267,0.00127422843789304,0.0316595554146181,0.993556153486378,5.81680314418271e-08,0.97152449175974
"Calm2",0.748238907396166,0.999826075823204,2.61989604879948e-05,0.991459289220675,8.1288334772313,8.6675150530868,8.12322826882466,8.71057680396856,0.705954000194162,0.0142288808029676,1.56128298189534,0.0516509739959744,4.94646843369769,0.0160297997592949,33.912623517708,0.172598469747925,0.0261440212526046,0.899249995588898,5.76434774213307e-09,0.677812715557878
"Rps3",0.999935776118052,0.990007308063221,7.06991747359251e-06,0.916488419832126,7.83147696312545,9.27074587195828,7.61110929940355,9.40159895857043,0.22658164334771,-0.0652674577421286,1.73824101616554,-0.137525231635724,0.329711603311008,0.311613032717762,37.25399199608,1.35175293343602,0.565828955852906,0.576692046751369,1.03702493195343e-09,0.244971900275579
"Tmsb4x",0.999935776118052,0.996464865910132,0.0012572745368944,0.963177319702303,9.26517180241769,10.8167626468581,8.6537956281925,10.5467856067748,0.276767058125712,-0.0334374731985819,2.43208088783222,-0.115896227558089,0.180193761127498,0.0417869058528595,24.2872068396856,0.591697204426737,0.671206778160528,0.838026507542817,8.29884182768584e-07,0.441763569745553
"Tpt1",0.92176864580654,0.993202635400009,0.00028037752787058,0.998854154412216,9.19835336684975,10.9906988047367,9.30629367061302,10.9709427982914,1.25013527390811,0.0440810460907351,3.17969504017596,0.0126252340289258,2.46073154710837,0.166271305537185,28.3202391511765,0.0106952119149391,0.11672440815171,0.683447102656151,1.02815375090055e-07,0.917631498504164
"Nr4a3",0.822394824802276,0.282067552743684,0.0514084318738332,0.00961742207112473,6.22630550698099,5.84771942704495,6.12002143112609,5.77211659036487,-0.649667957079394,-0.524462197540671,-0.888717995569349,-0.86642918229816,3.94496243690244,7.37719912345048,13.8518498071732,17.3648029126869,0.0470119033115298,0.00660559658189285,0.000197801928838082,3.08486121114433e-05
"Usp18",0.505553795547677,0.248150548685644,0.0149550362865799,0.00548122301482546,1.80936986780112,1.34093385317273,2.20174038449812,1.65735842610912,2.19362572998967,1.81019657072401,1.82817122718981,2.08730838638245,7.91440881347967,7.86387061451276,17.1196123107234,18.7519408921627,0.00490426038513529,0.0050432316855086,3.50979949520026e-05,1.48871765283337e-05
"Phlda1",0.49494665274547,0.0152630387799843,0.0433434508493715,5.95734295260543e-05,5.49979278727515,5.13798931973504,5.33295438234619,4.85298786765549,-0.701269114060985,-0.786902629414371,-0.923701133777834,-0.910009164779542,8.19076093466474,16.736847006111,14.3012302866647,31.2445630494376,0.00421042596918018,4.29389016772672e-05,0.000155763043023044,2.27483693012274e-08
"Lama5",0.564843177111164,0.340248259548953,0.201394065629107,0.00408417551644881,5.36426721144717,4.8554261844393,5.63370910217776,5.08125137898947,-0.863921622881895,-0.56592056137433,-0.587079478452052,-0.726888163882007,6.89423596667402,6.59924100719446,9.59998589743887,19.4562410453065,0.00864741134237149,0.0102022248696297,0.0019457886375244,1.02930954668406e-05
"Mtss1",0.106600219040681,0.175777446028547,0.142563467024315,0.0083480813091481,4.51661631062315,3.96845280769171,4.44133494537525,3.89139539162405,1.24751105138936,0.767641865380203,0.632101634090005,0.733150652522564,13.7680780426326,8.84072483873712,10.9608777257292,17.6797431507238,0.00020682081151091,0.00294582126503687,0.000930557283840411,2.61395550385728e-05
"Plaur",0.902940857083756,0.0153917643601193,0.999877684151563,0.00162002902948171,6.36425569289516,6.02611765549291,6.44680193846274,6.14086138073985,-0.610421953085804,-0.753293043583055,-0.328793961077909,-0.626656936352968,3.08574492603239,16.6703209279904,1.56600063912867,21.8362604241095,0.0789810917303633,4.44713386317316e-05,0.210788769742461,2.96935212368726e-06
"Robo2",0.579265671479525,0.0481488860545761,0.0258477629562406,0.00126313807534302,4.77646074754975,4.20679250800438,4.7373434252023,4.15897963467347,0.885099906758725,0.886912357575638,0.939157319350451,0.959114124250913,6.69239126301899,13.1443366449756,15.8588972331441,22.395667472733,0.00968252446917495,0.000288389598712863,6.82449186963448e-05,2.21873955497857e-06
"Zswim6",0.878302765321405,0.0288498893371291,0.440810449569886,0.00120058501535697,6.87472888819303,6.39317480819243,6.73620512631828,6.27855284453954,-0.432209717733503,-0.488588967387859,-0.53812917078926,-0.575359537124057,3.21717859922712,14.6185240126846,6.82546573924888,22.5786162079122,0.0728691272995282,0.000131614458654786,0.00898671184281606,2.01717354038898e-06
"Ipmk",0.949789148731146,0.0233323065627122,0.264458118496269,0.00548122301482546,6.5298708205665,6.02732400417476,6.53955224153648,5.94161051672499,-0.322466308975854,-0.510435282891575,-0.532216258698608,-0.509910600012153,2.10612705863983,15.3631267717647,8.72523633275153,18.6777703023306,0.146710211019586,8.87025036599459e-05,0.00313835387054043,1.54776454717757e-05
"Ddx58",0.932794654505419,0.065848924570887,0.0149550362865799,0.000579995644228487,5.6565147958238,5.12684549047187,5.63206249322415,5.06189617704898,0.363774643374217,0.610869611525072,0.753618206112496,0.654675737348785,2.24041805126536,12.022186526342,17.2673514907576,24.715659022513,0.134444627154425,0.000525709936127063,3.24718547965884e-05,6.64421465054781e-07
"Jph2",0.914369040104668,0.414903138843681,0.821569631859942,0.00791468710928154,6.52769332280517,5.98852973781129,6.45888799604119,5.92864259432199,-0.369076428374495,-0.376205208938196,-0.363262647289651,-0.53146022760064,2.83715254670365,5.91054142808787,3.60925536737085,17.8763208616475,0.0921073039315075,0.0150505454078157,0.0574588413656223,2.3573606022757e-05
"Rnf19b",0.999935776118052,0.022131521896744,0.689420312885866,0.000499608075817117,7.50567015626115,7.21289443293563,7.25882793948202,7.21993261824316,-0.0964664864228496,-0.522298768496503,-0.706894118664857,-0.599622328737001,0.135813525553772,15.5331373735955,4.575850001891,25.169151829487,0.712478924896376,8.10715617792e-05,0.032425655281007,5.2515524916182e-07
"Hmgcr",0.822394824802276,0.0552120307725604,0.979403305569688,0.00327821872281953,7.30662510535966,6.88678879431296,7.32224845084624,6.87907520023069,-0.458480211953847,-0.489087589688023,-0.342532432677559,-0.489404918056986,3.95153016819439,12.6784358665685,2.2635769370524,20.0808475608636,0.0468287676744785,0.0003698968705231,0.132447826321219,7.42363855517579e-06
"Tnk2",0.918598534698862,0.0178955659536602,0.589630718508019,0.000765286935948192,7.67817922053875,7.29809486024033,7.76113146421482,7.30419139507391,-0.496095302982895,-0.546127782824502,-0.550350794939977,-0.603605676387852,2.62163642103179,16.2364033671485,5.22576302128833,24.0572605324836,0.105415677275519,5.59093920386128e-05,0.0222546805515681,9.35129904931348e-07
