"","logFC","logCPM","LR","PValue"
"Polr2b",0.316368725982947,6.75779699497447,1.70387668217329,0.191781771033775
"Cacybp",-0.0260783789712612,6.67285301059732,0.0101297265514404,0.919831048554769
"Zfp706",0.0995522920111982,6.68425706497008,0.151727702932703,0.696889741003791
"Ppme1",-0.0573637374181693,7.02841422036293,0.0638457970641539,0.800517622673889
"Arhgap28",-0.238187799649829,6.4706862157573,1.14953857357713,0.283645763148882
"Cox6b1",0.491078413181102,5.95848701140311,3.04757799364299,0.0808576425014228
"Cdkn1b",0.63531396661381,7.36258494860354,6.79588511351358,0.00913682139509499
"Mast4",-0.268882837719027,7.4065109252725,1.09913610993213,0.29445577024081
"Agpat1",-0.124021880413116,6.72025219428912,0.292249918128434,0.58878232436218
"Cln5",0.41312226570401,6.51544849040112,2.29610581700868,0.129698809836151
"Ube2g1",0.244671554713676,6.58502956219899,1.06290394725244,0.302553795204745
"Insr",0.0463920536811724,6.82931232498665,0.0346869595120314,0.852253142683865
"Gng5",-0.0189421810554011,6.33576548262208,0.00372506596336564,0.951332674206024
"Cant1",-0.0105214381830015,6.57571590422764,0.00162499685274398,0.967844985102816
"Thoc2",0.217976777040047,6.83353530775873,0.753708327055011,0.385304686265577
"Gstp1",0.184156031783357,6.2725089382651,0.576453264981625,0.447705895492444
"Man2b1",-0.403323252739346,6.52489494967565,2.75246813247895,0.0971044282056971
"Slc35a4",-0.148816569442343,6.68945405647519,0.396933301770591,0.528677292504131
"Egfr",0.0921841622246992,6.80555889256928,0.182355194998911,0.66935698734769
"Ptprz1",-0.681319990120063,7.17123354208676,4.97471817110293,0.0257203938678533
"5031439G07Rik",-0.361445068491925,6.92473215960966,1.98482036084582,0.158883511494782
"Epn1",0.0350721681335303,6.58753419494072,0.0190161062873955,0.890320320732873
"Mmgt1",-0.0271375020336659,6.96590046033724,0.012228932671615,0.911945835601075
"Btf3l4",0.507970126265755,6.30229501356011,7.06747340312898,0.00784958716522969
"Dcaf12",0.275715186027338,6.53447956303197,1.89201467477045,0.168974861240723
"Myh11",-0.380927554889777,7.5614952563055,1.97006653611594,0.160440799709076
"Rheb",0.147768546013817,6.60321330401546,0.290881565713192,0.589656155368499
"Fam3c",0.107924226531932,6.78782667360681,0.234284752632888,0.628364789741353
"Yy1",0.0210943951515827,6.542616250182,0.00770554777482602,0.930050540909193
"Hmox1",0.07607467500909,6.07145014813305,0.0631554920078656,0.801576327121947
"Pcna",-0.306628208269331,6.57229831116303,1.0545623265359,0.304458676968851
"Tmem132a",0.0974851221872913,6.89057042364332,0.138709208484684,0.709567620502528
"Zfp146",0.0988470605557023,6.52328560858664,0.163783445529658,0.685696811008563
"Asxl1",-0.0839805904462783,6.70164138980937,0.156095048411977,0.692777458333554
"Ctcf",0.0105343632610314,6.56448961216325,0.0022215704412929,0.962406797261244
"Lamtor1",-0.328754935300752,6.39583457538664,1.07400594496746,0.300042347638026
"Zzef1",-0.35544300098077,7.22891803561272,2.14231654601167,0.143285380340888
"Grsf1",0.492603965072351,6.55302156365092,3.12570472261144,0.077066543138236
"Wasl",-0.0572908860197937,6.59906763926448,0.0755242878895812,0.783456970322741
