"","logFC","logCPM","LR","PValue"
"Bcam",0.0107973276935824,2.24221852508231,0.00141959251798784,0.969944831402178
"Bcdin3d",-0.314374063080832,2.02102421598656,1.40785298886063,0.235413136499219
"Bnc1",-0.364408380473972,2.14229568804202,1.07826161355117,0.299086770614937
"C1ql3",-0.204844507483129,2.98064063861695,0.5399271841114,0.462462905278958
"Carns1",0.383806531560921,1.64737796796806,1.56056906841351,0.211581917168341
"Cradd",0.0479077107372828,1.97847374511499,0.0272349987713607,0.868920135812853
"Hs3st3a1",0.401143102976052,2.19412318678725,1.94217379699756,0.163432700896198
"Ica1",0.216446351947295,1.74521644284964,0.498152620564804,0.480312971255236
"Kcnip1",0.161545167214475,2.19365967319848,0.179978674901159,0.671391567632099
"Kcnn1",0.298161570437206,1.61275775266329,0.639811718124748,0.423778984977635
"Klc3",-0.395656327815696,1.86638047396659,1.49147975658534,0.221987009138549
"Murc",-0.417605151553104,2.17364873347495,1.45507817599605,0.227714860883189
"Ogfod3",0.129033619740979,1.78318380037409,0.193394258691194,0.660106493102076
"Scg2",0.663392386620371,1.6988701573332,1.66568401249869,0.196837624077142
"Wdr78",0.37295079642236,2.11918585687007,1.74961840841299,0.185924710932583
"Zbtb42",-0.0305170449266975,1.97285367140035,0.0100116725559154,0.920298004586206
"1600020E01Rik",0.444925683439571,1.70942239971357,2.23079235305845,0.135284455049003
"Ccdc64",0.178249670877613,1.49847673580868,0.20657381863043,0.649466166927821
"Clec4n",0.563024716772913,3.60326601298648,0.922693135743369,0.336768834965123
"Dhtkd1",0.0486464025573647,1.58584845709305,0.0190423812287719,0.890245052982601
"Fbxo36",-0.133472890507939,2.12108782066171,0.24956294854914,0.617382987038942
"Hjurp",0.268225277651538,2.08176457373623,1.0443065290381,0.306821998095863
"Kdm8",-0.435930832790777,2.19468773981799,2.81108168430435,0.0936152342773466
"Nudt12",0.642302847310377,1.84170755739732,3.83200039987857,0.0502828873649367
"Ptchd1",0.267481521640868,2.18109116940741,0.281929358878889,0.59543942611728
"Rasip1",0.151883482422806,1.40454311659314,0.175707151537498,0.675088702663674
